n,median_ape,p75_ape,p90_ape,median_signed_bias,mean_signed_bias,median_abs_error_aed,mape,project,estimator,n_properties,areas
28,14.29,22.7,29.83,14.13,24.1,11000.0,26.73,binghatti crescent,A,2,Al Barsha South Fourth
28,13.26,22.0,29.08,6.75,19.51,9462.0,23.72,binghatti crescent,B,2,Al Barsha South Fourth
28,12.89,22.0,29.08,7.32,19.65,9462.0,23.76,binghatti crescent,C,2,Al Barsha South Fourth
28,14.29,21.37,28.67,12.86,23.55,12500.0,26.49,binghatti crescent,D,2,Al Barsha South Fourth
47,15.56,23.33,55.17,11.54,14.34,14000.0,25.56,binghatti crest,A,3,Al Barsha South Fourth
47,13.24,36.61,65.45,5.65,19.39,11021.0,26.43,binghatti crest,B,3,Al Barsha South Fourth
47,13.24,36.61,64.98,5.65,19.36,11001.0,26.35,binghatti crest,C,3,Al Barsha South Fourth
47,14.75,23.33,54.67,11.54,13.87,14000.0,25.35,binghatti crest,D,3,Al Barsha South Fourth
40,7.69,13.98,20.84,7.69,8.83,5000.0,9.89,binghatti emerald,A,2,Al Barsha South Fourth
40,5.65,10.61,18.11,5.65,6.07,3677.0,8.01,binghatti emerald,B,2,Al Barsha South Fourth
40,5.65,10.61,18.21,5.65,6.12,3761.0,8.05,binghatti emerald,C,2,Al Barsha South Fourth
40,7.4,14.39,20.84,7.4,8.48,5000.0,9.62,binghatti emerald,D,2,Al Barsha South Fourth
14,9.96,16.96,22.72,7.61,6.32,8000.0,14.66,binghatti galaxy,A,1,Al Barsha South Fourth
14,11.43,15.52,23.05,4.3,5.02,9055.0,13.84,binghatti galaxy,B,1,Al Barsha South Fourth
14,11.43,15.52,23.05,4.3,5.02,9055.0,13.84,binghatti galaxy,C,1,Al Barsha South Fourth
14,9.34,19.64,22.2,7.61,7.72,7500.0,14.95,binghatti galaxy,D,1,Al Barsha South Fourth
53,7.69,12.9,16.67,7.4,6.24,5000.0,9.02,binghatti gardenia,A,2,Al Barsha South Fourth
53,12.58,18.02,23.2,12.58,12.11,8175.0,12.74,binghatti gardenia,B,2,Al Barsha South Fourth
53,12.58,18.02,23.2,12.58,12.09,8175.0,12.73,binghatti gardenia,C,2,Al Barsha South Fourth
53,7.69,12.9,16.67,7.14,5.72,5000.0,8.65,binghatti gardenia,D,2,Al Barsha South Fourth
48,14.76,23.01,33.27,13.74,12.44,9250.0,18.18,binghatti house,A,3,Al Barsha South Fourth
48,15.59,23.92,36.61,15.59,13.52,10135.0,18.95,binghatti house,B,3,Al Barsha South Fourth
48,15.59,24.05,36.61,15.59,13.66,10135.0,19.02,binghatti house,C,3,Al Barsha South Fourth
48,13.74,21.9,31.45,11.71,11.8,9000.0,17.55,binghatti house,D,3,Al Barsha South Fourth
31,10.0,15.38,21.74,7.14,6.54,6583.0,11.68,binghatti lavender,A,3,Al Barsha South Fourth
31,8.03,13.56,18.12,4.48,5.24,6716.0,9.92,binghatti lavender,B,3,Al Barsha South Fourth
31,8.03,13.29,17.89,5.46,5.49,6716.0,9.98,binghatti lavender,C,3,Al Barsha South Fourth
31,10.0,15.38,21.74,7.14,6.61,8000.0,12.07,binghatti lavender,D,3,Al Barsha South Fourth
36,5.49,12.39,20.44,4.58,4.41,3938.0,9.58,binghatti luna,A,2,Al Barsha South Fourth
36,11.74,17.75,28.1,-4.8,0.97,8207.0,14.34,binghatti luna,B,2,Al Barsha South Fourth
36,11.78,17.75,28.21,-4.95,1.0,8237.0,14.57,binghatti luna,C,2,Al Barsha South Fourth
36,5.49,11.95,20.44,4.0,3.94,3750.0,9.22,binghatti luna,D,2,Al Barsha South Fourth
43,12.9,20.0,20.69,12.9,10.79,9000.0,12.72,binghatti nova,A,2,Al Barsha South Fourth
43,13.39,17.07,26.86,13.26,11.85,8218.0,14.55,binghatti nova,B,2,Al Barsha South Fourth
43,13.39,17.07,26.86,13.26,11.85,8218.0,14.55,binghatti nova,C,2,Al Barsha South Fourth
43,12.9,18.87,20.69,12.9,9.78,8000.0,12.68,binghatti nova,D,2,Al Barsha South Fourth
114,7.67,15.38,21.96,5.33,6.24,6583.0,10.28,binghatti onyx,A,2,Al Barsha South Fourth
114,7.09,14.81,22.58,4.64,5.47,5670.0,9.93,binghatti onyx,B,2,Al Barsha South Fourth
114,7.55,14.86,22.51,4.64,5.72,5608.0,10.03,binghatti onyx,C,2,Al Barsha South Fourth
114,7.65,15.38,21.96,5.33,6.05,6000.0,10.27,binghatti onyx,D,2,Al Barsha South Fourth
