n,median_ape,p75_ape,p90_ape,median_signed_bias,mean_signed_bias,median_abs_error_aed,mape,project,estimator,n_properties,areas
1041,18.18,27.6,36.17,-2.6,0.35,15330.0,19.39,mosela waterside residences,D,1,Al Barshaa South Third
813,20.37,33.33,46.22,2.38,5.09,44162.0,26.26,muraba residences,A,1,Palm Jumeirah
813,22.02,36.45,51.32,8.29,10.64,47760.0,28.4,muraba residences,B,1,Palm Jumeirah
813,22.29,36.5,51.37,8.64,10.88,47760.0,28.49,muraba residences,C,1,Palm Jumeirah
813,20.37,33.33,46.25,2.38,4.94,43710.0,26.21,muraba residences,D,1,Palm Jumeirah
4876,18.12,29.65,43.11,5.56,7.89,18000.0,22.09,nobles tower,A,2,Business Bay
4876,18.07,32.15,45.17,8.55,10.44,18361.0,23.08,nobles tower,B,2,Business Bay
4876,18.03,32.42,45.27,9.29,10.86,18452.0,23.26,nobles tower,C,2,Business Bay
4876,18.18,29.41,42.86,5.26,7.61,18000.0,21.97,nobles tower,D,2,Business Bay
27,9.68,19.27,24.06,3.17,9.34,9448.0,12.66,oakley square residences,A,3,Al Barsha South Fourth
27,11.31,26.49,30.32,11.31,15.24,9614.0,16.05,oakley square residences,B,3,Al Barsha South Fourth
27,11.38,26.85,32.74,11.38,15.41,9614.0,16.49,oakley square residences,C,3,Al Barsha South Fourth
27,9.68,20.0,23.26,5.88,10.2,9448.0,12.92,oakley square residences,D,3,Al Barsha South Fourth
4714,12.0,20.88,30.53,5.73,6.0,6650.0,15.35,oxford gardens,A,3,Al Barshaa South Third
4714,12.35,21.46,30.65,4.94,5.5,6534.0,15.27,oxford gardens,B,3,Al Barshaa South Third
4714,12.34,21.57,30.83,5.17,5.79,6534.0,15.33,oxford gardens,C,3,Al Barshaa South Third
4714,12.0,20.75,30.53,4.76,5.65,6400.0,15.19,oxford gardens,D,3,Al Barshaa South Third
9,10.0,19.09,45.71,7.14,14.81,10000.0,17.03,oxford terraces 2,A,2,Al Barsha South Fourth
9,8.95,20.06,35.93,8.43,14.04,8952.0,16.34,oxford terraces 2,B,2,Al Barsha South Fourth
9,8.92,20.06,35.93,8.43,14.33,8921.0,16.31,oxford terraces 2,C,2,Al Barsha South Fourth
9,10.0,18.18,43.7,7.14,13.59,10000.0,15.81,oxford terraces 2,D,2,Al Barsha South Fourth
3766,15.42,27.11,38.12,-0.07,0.61,9628.0,18.54,park town,A,1,Jabal Ali First
3766,17.55,30.25,39.23,5.74,7.03,11489.0,20.26,park town,B,1,Jabal Ali First
3766,17.51,30.43,39.4,5.87,7.23,11536.0,20.34,park town,C,1,Jabal Ali First
3766,15.38,27.16,38.15,-0.21,0.56,9665.0,18.52,park town,D,1,Jabal Ali First
2791,15.0,24.46,33.67,0.0,1.36,10175.0,17.47,q gardens boutique residences,A,2,Al Barshaa South Third
2791,15.89,27.28,41.69,4.21,8.17,11385.0,20.04,q gardens boutique residences,B,2,Al Barshaa South Third
2791,15.77,27.49,41.71,4.58,8.55,11485.0,20.13,q gardens boutique residences,C,2,Al Barshaa South Third
2791,14.87,24.37,33.62,0.0,1.31,10265.0,17.46,q gardens boutique residences,D,2,Al Barshaa South Third
853,22.34,38.75,54.83,2.23,6.93,46050.0,30.31,raffles the palm dubai,A,4,Palm Jumeirah
853,24.64,44.96,64.31,8.55,14.38,57557.0,34.45,raffles the palm dubai,B,4,Palm Jumeirah
853,24.65,44.97,64.3,8.73,14.73,57443.0,34.57,raffles the palm dubai,C,4,Palm Jumeirah
853,22.34,38.46,54.66,2.22,6.7,45626.0,30.21,raffles the palm dubai,D,4,Palm Jumeirah
774,18.18,33.33,50.0,4.0,7.13,30000.0,24.99,royal bay,A,2,Palm Jumeirah
774,18.5,34.8,50.97,5.05,8.36,30000.0,25.64,royal bay,B,2,Palm Jumeirah
774,18.65,34.7,52.03,5.5,8.86,30265.0,25.8,royal bay,C,2,Palm Jumeirah
774,17.89,33.33,50.0,3.2,6.77,30000.0,24.86,royal bay,D,2,Palm Jumeirah
1479,17.33,26.67,35.71,3.53,4.32,15000.0,19.55,saba 2,A,1,Al Thanyah Fifth
1479,18.42,29.36,40.21,9.53,10.51,16037.0,21.92,saba 2,B,1,Al Thanyah Fifth
1479,18.86,29.61,40.7,9.94,10.9,16122.0,22.09,saba 2,C,1,Al Thanyah Fifth
1479,17.33,26.67,35.38,3.53,4.05,14250.0,19.48,saba 2,D,1,Al Thanyah Fifth
3073,15.38,25.0,34.0,5.4,4.61,8000.0,17.65,samana hills,A,3,Al Barshaa South Third
3073,15.57,28.31,44.78,8.54,11.03,9801.0,20.4,samana hills,B,3,Al Barshaa South Third
3073,15.63,28.38,44.88,8.65,11.1,9800.0,20.43,samana hills,C,3,Al Barshaa South Third
3073,15.24,25.0,33.69,4.56,4.37,8000.0,17.55,samana hills,D,3,Al Barshaa South Third
9,14.29,20.0,24.0,6.67,3.19,6000.0,15.77,serenity lakes 5,A,1,Al Barsha South Fourth
9,33.83,51.0,51.44,33.83,29.68,18224.0,35.26,serenity lakes 5,B,1,Al Barsha South Fourth
9,33.83,51.0,51.44,33.83,29.83,18399.0,35.42,serenity lakes 5,C,1,Al Barsha South Fourth
9,14.29,20.0,24.5,6.67,2.91,6000.0,16.05,serenity lakes 5,D,1,Al Barsha South Fourth
8589,22.86,38.89,62.1,2.94,11.27,42256.0,29.23,sls dubai hotels and residences,A,3,Burj Khalifa
8589,22.94,38.51,63.53,3.48,11.54,40884.0,29.54,sls dubai hotels and residences,B,3,Burj Khalifa
8589,22.94,38.59,63.82,3.82,11.86,40919.0,29.63,sls dubai hotels and residences,C,3,Burj Khalifa
8589,22.86,38.64,61.92,2.94,10.92,42188.0,29.12,sls dubai hotels and residences,D,3,Burj Khalifa
4293,17.42,30.0,44.44,10.0,10.76,14000.0,22.01,sol bay,A,2,Business Bay
4293,19.57,34.32,50.62,14.9,16.2,15754.0,24.84,sol bay,B,2,Business Bay
4293,19.93,34.46,50.96,15.39,16.6,15875.0,25.06,sol bay,C,2,Business Bay
4293,17.19,30.0,44.15,9.02,10.17,13707.0,21.7,sol bay,D,2,Business Bay
6044,20.59,36.08,55.09,2.88,3.39,24705.0,26.14,sunrise bay,A,3,Marsa Dubai
6044,20.98,38.4,57.31,4.1,5.75,24878.0,27.14,sunrise bay,B,3,Marsa Dubai
6044,21.18,39.0,57.68,4.95,6.6,25163.0,27.46,sunrise bay,C,3,Marsa Dubai
6044,20.59,36.0,55.0,2.35,3.07,24346.0,26.04,sunrise bay,D,3,Marsa Dubai
8297,17.65,30.56,44.48,5.88,8.25,16000.0,21.93,the atria,A,4,Business Bay
8297,18.91,32.75,49.89,9.66,12.18,18527.0,24.03,the atria,B,4,Business Bay
8297,18.99,33.04,50.33,9.92,12.53,18651.0,24.18,the atria,C,4,Business Bay
8297,17.39,30.09,44.2,5.88,7.92,16000.0,21.79,the atria,D,4,Business Bay
346,13.28,22.87,35.83,-3.66,-3.62,10350.0,17.02,the cape,A,1,Wadi Al Safa 3
346,15.77,25.33,38.27,5.08,3.77,12989.0,18.39,the cape,B,1,Wadi Al Safa 3
346,15.73,25.32,38.27,5.08,3.77,12989.0,18.39,the cape,C,1,Wadi Al Safa 3
346,13.33,23.08,35.83,-3.08,-3.46,10449.0,17.0,the cape,D,1,Wadi Al Safa 3
3523,11.11,20.0,31.25,0.0,1.06,6000.0,14.54,the community motor city,A,4,Al Hebiah Fourth
3523,12.07,22.56,34.63,2.43,4.72,6402.0,16.11,the community motor city,B,4,Al Hebiah Fourth
3523,12.07,22.48,34.81,2.49,4.83,6349.0,16.13,the community motor city,C,4,Al Hebiah Fourth
3523,11.11,20.0,31.11,0.0,0.98,6000.0,14.52,the community motor city,D,4,Al Hebiah Fourth
9723,12.5,22.65,33.3,5.26,5.06,15000.0,17.5,the cove,A,4,Al Khairan First
9723,18.39,29.78,40.82,14.36,15.96,21235.0,22.71,the cove,B,4,Al Khairan First
9723,18.52,30.16,40.82,14.51,16.14,21694.0,22.82,the cove,C,4,Al Khairan First
9723,12.5,22.45,32.76,4.67,4.72,15000.0,17.39,the cove,D,4,Al Khairan First
4256,18.0,31.95,47.02,5.02,8.35,17756.0,22.88,the pad by omniyat,A,2,Business Bay
4256,18.46,31.87,47.55,5.81,9.15,18167.0,23.3,the pad by omniyat,B,2,Business Bay
4256,18.56,32.09,47.94,6.23,9.58,18264.0,23.47,the pad by omniyat,C,2,Business Bay
4256,18.0,31.96,46.67,4.95,8.17,18000.0,22.83,the pad by omniyat,D,2,Business Bay
675,15.38,26.71,40.0,4.08,10.48,20000.0,22.74,the palm tower,A,3,Palm Jumeirah
675,14.7,23.96,36.92,-7.43,-0.3,20453.0,21.78,the palm tower,B,3,Palm Jumeirah
675,14.06,23.77,36.1,-5.65,0.84,20000.0,21.73,the palm tower,C,3,Palm Jumeirah
675,15.38,26.43,40.0,3.66,10.35,20000.0,22.67,the palm tower,D,3,Palm Jumeirah
6757,17.65,31.82,50.0,7.14,9.72,15000.0,22.94,the paragon by igo,A,4,Business Bay
6757,18.39,33.52,51.32,7.82,11.87,16247.0,24.11,the paragon by igo,B,4,Business Bay
6757,18.49,33.69,51.66,8.2,12.27,16363.0,24.28,the paragon by igo,C,4,Business Bay
6757,17.5,31.58,50.0,6.67,9.21,15000.0,22.71,the paragon by igo,D,4,Business Bay
6895,16.67,29.31,44.23,6.29,8.95,15000.0,21.52,trillionaire residences,A,3,Business Bay
6895,17.58,30.9,46.01,7.79,10.62,16230.0,22.68,trillionaire residences,B,3,Business Bay
6895,17.59,31.06,46.18,7.99,10.98,16282.0,22.82,trillionaire residences,C,3,Business Bay
6895,16.67,29.11,44.0,5.88,8.63,15000.0,21.38,trillionaire residences,D,3,Business Bay
12,15.28,18.4,20.23,6.22,3.34,6500.0,12.28,uniestate prime tower,A,1,Al Barsha South Fourth
12,13.92,17.91,20.28,1.96,0.44,5846.0,11.63,uniestate prime tower,B,1,Al Barsha South Fourth
12,10.26,14.28,19.19,1.96,1.87,5201.0,10.2,uniestate prime tower,C,1,Al Barsha South Fourth
12,18.96,19.38,21.67,6.75,3.55,8000.0,14.46,uniestate prime tower,D,1,Al Barsha South Fourth
1549,16.36,30.0,54.33,11.11,15.13,10000.0,22.17,upside living,A,1,Business Bay
1549,13.55,24.13,39.97,-1.02,3.02,8404.0,17.71,upside living,B,1,Business Bay
1549,13.41,24.03,40.16,-0.86,3.27,8404.0,17.74,upside living,C,1,Business Bay
1549,16.0,30.0,51.16,9.38,14.13,10000.0,21.67,upside living,D,1,Business Bay
6934,17.65,30.28,42.47,4.58,5.96,17000.0,21.63,urban oasis by missoni,A,5,Business Bay
6934,19.63,33.79,51.01,11.98,13.08,20465.0,24.73,urban oasis by missoni,B,5,Business Bay
6934,19.88,33.93,51.41,12.28,13.39,20598.0,24.9,urban oasis by missoni,C,5,Business Bay
6934,17.6,30.16,41.99,3.95,5.61,17000.0,21.48,urban oasis by missoni,D,5,Business Bay
4296,16.67,29.63,44.44,9.51,10.88,13194.0,21.81,vera residences,A,2,Business Bay
4296,17.56,30.92,46.79,10.97,12.76,13870.0,22.69,vera residences,B,2,Business Bay
4296,17.67,31.37,47.17,11.35,13.17,14054.0,22.89,vera residences,C,2,Business Bay
4296,16.67,29.06,44.16,8.33,10.31,13000.0,21.53,vera residences,D,2,Business Bay
4434,14.67,25.0,36.0,4.17,5.05,9000.0,18.56,vincitore volare,A,3,Al Barshaa South Third
4434,17.83,29.21,42.72,10.04,10.86,10894.0,21.52,vincitore volare,B,3,Al Barshaa South Third
4434,17.97,29.5,42.94,10.15,11.02,10891.0,21.6,vincitore volare,C,3,Al Barshaa South Third
4434,14.69,25.0,35.97,3.79,4.84,9000.0,18.49,vincitore volare,D,3,Al Barshaa South Third
