n,median_ape,p75_ape,p90_ape,median_signed_bias,mean_signed_bias,median_abs_error_aed,mape,dimension,value
2018,25.18,45.9,65.99,9.04,10.1,37986.0,31.58,project,grand bleu tower 1
8197,12.5,21.83,32.47,7.49,9.21,14642.0,17.37,project,harbour gate
1984,15.1,29.27,44.76,10.23,13.78,28062.0,23.45,project,harbour views 1
263,12.84,21.77,32.3,-6.9,-1.04,5176.0,18.98,project,hotel edge by rotana
7563,22.09,37.63,60.52,14.69,18.62,38899.0,29.6,project,imperial avenue
5,14.42,22.02,22.49,14.42,14.76,13696.0,14.76,project,la residenza
31,12.52,19.15,58.12,7.43,14.84,5341.0,20.58,project,laya mansion
7006,24.22,41.8,60.33,11.25,11.43,27629.0,29.65,project,liv residence
65,15.08,34.75,53.03,14.58,16.53,8335.0,22.09,project,luma21
69,27.89,45.69,57.92,27.89,28.0,18929.0,30.49,project,luma22
1818,14.9,27.51,46.3,6.13,9.26,9214.0,19.98,project,mama residences
822,28.96,49.35,68.87,13.01,11.92,57960.0,36.4,project,marina arcade tower
6787,23.37,39.0,55.94,7.85,8.47,24160.0,28.18,project,marina star
7078,21.63,36.31,53.54,15.26,16.84,20595.0,26.22,project,marquise square
4446,18.86,31.09,45.22,6.51,9.48,17946.0,23.12,project,marriott residences
5,17.49,17.65,41.46,17.49,23.44,13991.0,23.44,project,mayas geneva
2484,17.71,28.98,42.72,6.63,8.45,17165.0,22.64,project,mbl royal
2919,18.13,31.52,46.84,7.39,11.21,18768.0,23.97,project,me do re
1041,18.38,33.29,46.31,9.27,12.22,19104.0,23.1,project,mosela waterside residences
813,22.02,36.45,51.32,8.29,10.64,47760.0,28.4,project,muraba residences
4876,18.07,32.15,45.17,8.55,10.44,18361.0,23.08,project,nobles tower
27,11.31,26.49,30.32,11.31,15.24,9614.0,16.05,project,oakley square residences
4714,12.35,21.46,30.65,4.94,5.5,6534.0,15.27,project,oxford gardens
9,8.95,20.06,35.93,8.43,14.04,8952.0,16.34,project,oxford terraces 2
3766,17.55,30.25,39.23,5.74,7.03,11489.0,20.26,project,park town
2791,15.89,27.28,41.69,4.21,8.17,11385.0,20.04,project,q gardens boutique residences
853,24.64,44.96,64.31,8.55,14.38,57557.0,34.45,project,raffles the palm dubai
774,18.5,34.8,50.97,5.05,8.36,30000.0,25.64,project,royal bay
1479,18.42,29.36,40.21,9.53,10.51,16037.0,21.92,project,saba 2
3073,15.57,28.31,44.78,8.54,11.03,9801.0,20.4,project,samana hills
9,33.83,51.0,51.44,33.83,29.68,18224.0,35.26,project,serenity lakes 5
8589,22.94,38.51,63.53,3.48,11.54,40884.0,29.54,project,sls dubai hotels and residences
4293,19.57,34.32,50.62,14.9,16.2,15754.0,24.84,project,sol bay
6044,20.98,38.4,57.31,4.1,5.75,24878.0,27.14,project,sunrise bay
8297,18.91,32.75,49.89,9.66,12.18,18527.0,24.03,project,the atria
346,15.77,25.33,38.27,5.08,3.77,12989.0,18.39,project,the cape
3523,12.07,22.56,34.63,2.43,4.72,6402.0,16.11,project,the community motor city
9723,18.39,29.78,40.82,14.36,15.96,21235.0,22.71,project,the cove
4256,18.46,31.87,47.55,5.81,9.15,18167.0,23.3,project,the pad by omniyat
675,14.7,23.96,36.92,-7.43,-0.3,20453.0,21.78,project,the palm tower
6757,18.39,33.52,51.32,7.82,11.87,16247.0,24.11,project,the paragon by igo
6895,17.58,30.9,46.01,7.79,10.62,16230.0,22.68,project,trillionaire residences
12,13.92,17.91,20.28,1.96,0.44,5846.0,11.63,project,uniestate prime tower
1549,13.55,24.13,39.97,-1.02,3.02,8404.0,17.71,project,upside living
6934,19.63,33.79,51.01,11.98,13.08,20465.0,24.73,project,urban oasis by missoni
4296,17.56,30.92,46.79,10.97,12.76,13870.0,22.69,project,vera residences
4434,17.83,29.21,42.72,10.04,10.86,10894.0,21.52,project,vincitore volare
259384,17.08,30.24,46.03,7.68,10.19,17299.0,22.57,bedroom_available,yes
36288,15.29,27.55,43.31,7.0,10.14,8745.0,20.21,bedroom_available,no
10190,15.23,27.29,41.95,7.64,10.47,9606.0,20.16,contract_mix,mostly_new
253092,16.73,29.79,46.16,7.47,10.21,16744.0,22.37,contract_mix,mixed
32390,18.54,31.33,43.87,8.55,9.9,12713.0,22.31,contract_mix,mostly_renewed
75457,20.65,37.73,57.66,19.84,25.76,11181.0,28.78,actual_rent_quartile,Q1
76652,15.22,26.81,41.67,10.57,12.89,12284.0,19.77,actual_rent_quartile,Q2
72035,15.0,26.78,40.06,3.34,6.41,16872.0,19.4,actual_rent_quartile,Q3
71528,17.49,29.26,42.36,-7.59,-5.34,30383.0,21.03,actual_rent_quartile,Q4
572,13.4,23.28,36.81,9.39,14.96,11481.0,20.47,hist_pool_size,small_5_20
1138,12.71,23.46,40.36,8.28,12.26,10591.0,19.7,hist_pool_size,medium_20_50
293962,16.88,29.94,45.79,7.58,10.17,15872.0,22.3,hist_pool_size,large_50_plus
1245,20.05,32.97,44.44,13.56,13.36,12554.0,23.63,hist_date_span,narrow_0_30d
56791,17.2,30.84,47.4,8.37,11.31,16960.0,22.92,hist_date_span,medium_30_90d
237636,16.74,29.66,45.28,7.35,9.9,15618.0,22.12,hist_date_span,wide_90_plus
7954,12.67,22.54,36.45,-2.06,1.07,7122.0,16.8,subject_vs_hist_size,smaller_than_hist
216979,15.92,28.12,43.26,6.21,8.67,14781.0,21.1,subject_vs_hist_size,similar_size
70739,21.12,35.9,53.03,14.64,15.85,21794.0,26.53,subject_vs_hist_size,larger_than_hist
