tier,best_estimator,n,median_ape,p75_ape,p90_ape,median_signed_bias,mean_signed_bias
R2,D,2630,11.11,20.0,29.05,7.69,9.72
R4,D,293042,15.4,27.27,41.67,4.0,5.75
