property_id,project,area,qdrant_category,project_match_status,service_charge_status,production_eligible,failure_reason,mollak_project,mollak_community,location_parity,sc_rate_aed_sqft,sc_year,gf_rate,rf_rate,gt_rate,component_match,unit_size_sqft,annual_service_charge_aed,annual_rent_estimate_aed,income_after_service_charges_aed,master_current_price_aed,gross_rental_yield_pct,yield_after_service_charges_pct
3375,Mayas Geneva,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1712.0,,,,1900000,,
6350,Q Gardens Boutique Residences,Arjan,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1629.0,,,,1500000,,
2276,Park Lane by Heilbronn,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1163.0,,,,2200000,,
6209,Concept 7 Residences,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,619.0,,,,1000000,,
5073,Luma22,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,577.0,,,,700000,,
6695,Binghatti Amber,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,455.0,,,,720000,,
2460,Creek Gate Tower 2,Dubai Creek Harbour,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,721.0,,,,1700000,,
7792,Luma21,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,422.0,,,,660000,,
7663,48 Parkside,Arjan,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1443.0,,,,1922960,,
2725,saba 2,Jumeirah Lake Towers,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,950.0,,,,90000,,
6540,The Autograph Residences,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1401.0,,,,1900000,,
93,Marina Star,Dubai Marina,Duplex,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,2463.0,,,,807000,,
6277,Binghatti Emerald,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1378.0,,,,1300000,,
6430,Beverly Boulevard,Arjan,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1299.0,,,,1300000,,
